frame_time,MAX Blue,MAX Green,MAX Orange,MAX Red,MAX Yellow,Streetcar NS,Streetcar A,Streetcar B,Commuter Rail,Bus,smooth_MAX Blue,smooth_MAX Green,smooth_MAX Orange,smooth_MAX Red,smooth_MAX Yellow,smooth_Streetcar NS,smooth_Streetcar A,smooth_Streetcar B,smooth_Commuter Rail,smooth_Bus
2025-09-10 07:04:30,13.0,7.0,3.0,9.0,4.0,5.0,2.0,3.0,2.0,264.0,13.0,6.583333333333333,4.366666666666666,9.066666666666666,2.7666666666666666,4.183333333333334,2.95,3.0,2.0,263.8833333333333
2025-09-10 07:04:40,13.0,7.0,3.0,9.0,4.0,5.0,2.0,3.0,2.0,264.0,12.95,6.616666666666666,4.35,9.1,2.7666666666666666,4.2,2.933333333333333,3.0,2.0,264.05
2025-09-10 07:04:50,14.0,7.0,3.0,9.0,4.0,5.0,2.0,3.0,2.0,263.0,12.916666666666666,6.65,4.333333333333333,9.133333333333333,2.7666666666666666,4.216666666666667,2.9166666666666665,3.0,2.0,264.2
2025-09-10 07:05:00,14.0,7.0,3.0,9.0,4.0,5.0,2.0,3.0,2.0,268.0,12.9,6.683333333333334,4.316666666666666,9.166666666666666,2.7666666666666666,4.233333333333333,2.9,3.0,2.0,264.3
2025-09-10 07:05:10,14.0,7.0,3.0,9.0,4.0,5.0,2.0,3.0,2.0,262.0,12.883333333333333,6.716666666666667,4.3,9.2,2.7666666666666666,4.25,2.8833333333333333,3.0,2.0,264.3666666666667
2025-09-10 07:05:20,14.0,7.0,3.0,9.0,4.0,5.0,2.0,3.0,2.0,262.0,12.866666666666667,6.75,4.283333333333333,9.233333333333333,2.7666666666666666,4.266666666666667,2.8666666666666667,3.0,2.0,264.43333333333334
2025-09-10 07:05:30,15.0,7.0,3.0,9.0,4.0,5.0,2.0,3.0,2.0,262.0,12.866666666666667,6.783333333333333,4.266666666666667,9.266666666666667,2.7666666666666666,4.283333333333333,2.85,3.0,2.0,264.5
2025-09-10 07:05:40,15.0,7.0,3.0,9.0,4.0,5.0,2.0,3.0,2.0,263.0,12.866666666666667,6.8,4.25,9.3,2.7666666666666666,4.3,2.8333333333333335,3.0,2.0,264.5833333333333
2025-09-10 07:05:50,15.0,7.0,3.0,9.0,4.0,5.0,2.0,3.0,2.0,264.0,12.866666666666667,6.816666666666666,4.233333333333333,9.333333333333334,2.7666666666666666,4.316666666666666,2.816666666666667,3.0,2.0,264.6666666666667
2025-09-10 07:06:00,15.0,7.0,3.0,9.0,4.0,5.0,3.0,3.0,2.0,269.0,12.883333333333333,6.833333333333333,4.216666666666667,9.35,2.783333333333333,4.333333333333333,2.816666666666667,3.0,2.0,264.76666666666665
2025-09-10 07:06:10,15.0,7.0,3.0,9.0,4.0,5.0,3.0,3.0,2.0,266.0,12.9,6.85,4.2,9.366666666666667,2.8,4.35,2.816666666666667,3.0,2.0,264.8833333333333
2025-09-10 07:06:20,15.0,7.0,3.0,9.0,4.0,5.0,3.0,3.0,2.0,266.0,12.916666666666666,6.866666666666666,4.183333333333334,9.383333333333333,2.816666666666667,4.366666666666666,2.816666666666667,3.0,2.0,265.0
2025-09-10 07:06:30,15.0,7.0,3.0,9.0,4.0,5.0,3.0,3.0,2.0,266.0,12.933333333333334,6.883333333333334,4.15,9.4,2.8333333333333335,4.383333333333334,2.816666666666667,3.0,2.0,265.1166666666667
2025-09-10 07:06:40,14.0,7.0,3.0,8.0,4.0,5.0,3.0,3.0,2.0,266.0,12.933333333333334,6.9,4.116666666666666,9.4,2.85,4.4,2.816666666666667,3.0,2.0,265.23333333333335
2025-09-10 07:06:50,14.0,7.0,3.0,8.0,4.0,5.0,3.0,3.0,2.0,266.0,12.933333333333334,6.916666666666667,4.083333333333333,9.4,2.8666666666666667,4.416666666666667,2.816666666666667,3.0,2.0,265.35
2025-09-10 07:07:00,15.0,7.0,3.0,8.0,4.0,5.0,3.0,3.0,2.0,273.0,12.95,6.933333333333334,4.05,9.4,2.8833333333333333,4.433333333333334,2.816666666666667,3.0,2.0,265.48333333333335
2025-09-10 07:07:10,15.0,7.0,3.0,8.0,4.0,5.0,3.0,3.0,2.0,271.0,12.966666666666667,6.95,4.016666666666667,9.4,2.9,4.45,2.816666666666667,3.0,2.0,265.6166666666667
2025-09-10 07:07:20,15.0,7.0,3.0,8.0,4.0,5.0,3.0,3.0,2.0,271.0,12.983333333333333,6.966666666666667,3.9833333333333334,9.383333333333333,2.9166666666666665,4.466666666666667,2.816666666666667,3.0,2.0,265.75
2025-09-10 07:07:30,15.0,7.0,3.0,8.0,4.0,5.0,3.0,3.0,2.0,271.0,13.016666666666667,6.983333333333333,3.95,9.366666666666667,2.933333333333333,4.483333333333333,2.816666666666667,3.0,2.0,265.8833333333333
