frame_time,MAX,Streetcar,Commuter Rail,Bus,smooth_MAX,smooth_Streetcar,smooth_Commuter Rail,smooth_Bus
2025-09-10 06:02:00,14.0,2.0,1.0,93.0,13.461538461538462,2.0,0.5384615384615384,87.53846153846153
2025-09-10 06:02:10,14.0,2.0,1.0,93.0,13.5,2.0,0.5714285714285714,87.92857142857143
2025-09-10 06:02:20,15.0,2.0,1.0,93.0,13.6,2.0,0.6,88.26666666666667
2025-09-10 06:02:30,15.0,2.0,1.0,93.0,13.6875,2.0,0.625,88.5625
2025-09-10 06:02:40,15.0,2.0,1.0,93.0,13.764705882352942,2.0,0.6470588235294118,88.82352941176471
2025-09-10 06:02:50,15.0,2.0,1.0,93.0,13.833333333333334,2.0,0.6666666666666666,89.05555555555556
2025-09-10 06:03:00,16.0,2.0,1.0,96.0,13.947368421052632,2.0,0.6842105263157895,89.42105263157895
2025-09-10 06:03:10,16.0,2.0,1.0,96.0,14.05,2.0,0.7,89.75
2025-09-10 06:03:20,16.0,2.0,1.0,96.0,14.142857142857142,2.0,0.7142857142857143,90.04761904761905
2025-09-10 06:03:30,16.0,2.0,1.0,96.0,14.227272727272727,2.0,0.7272727272727273,90.31818181818181
2025-09-10 06:03:40,16.0,2.0,1.0,96.0,14.304347826086957,2.0,0.7391304347826086,90.56521739130434
2025-09-10 06:03:50,16.0,2.0,1.0,96.0,14.375,2.0,0.75,90.79166666666667
2025-09-10 06:04:00,16.0,2.0,1.0,100.0,14.44,2.0,0.76,91.16
2025-09-10 06:04:10,16.0,2.0,1.0,100.0,14.5,2.0,0.7692307692307693,91.5
2025-09-10 06:04:20,16.0,2.0,1.0,100.0,14.555555555555555,2.0,0.7777777777777778,91.81481481481481
2025-09-10 06:04:30,16.0,2.0,1.0,100.0,14.607142857142858,2.0,0.7857142857142857,92.10714285714286
2025-09-10 06:04:40,16.0,2.0,1.0,100.0,14.655172413793103,2.0,0.7931034482758621,92.37931034482759
2025-09-10 06:04:50,17.0,2.0,1.0,100.0,14.733333333333333,2.0,0.8,92.63333333333334
2025-09-10 06:05:00,17.0,2.0,1.0,103.0,14.806451612903226,2.0,0.8064516129032258,92.96774193548387
2025-09-10 06:05:10,17.0,2.0,1.0,103.0,14.875,2.0,0.8125,93.28125
2025-09-10 06:05:20,18.0,2.0,1.0,103.0,14.969696969696969,2.0,0.8181818181818182,93.57575757575758
2025-09-10 06:05:30,20.0,2.0,1.0,103.0,15.117647058823529,2.0,0.8235294117647058,93.8529411764706
2025-09-10 06:05:40,20.0,2.0,1.0,103.0,15.257142857142858,2.0,0.8285714285714286,94.11428571428571
2025-09-10 06:05:50,20.0,2.0,1.0,103.0,15.38888888888889,2.0,0.8333333333333334,94.36111111111111
2025-09-10 06:06:00,20.0,2.0,1.0,106.0,15.513513513513514,2.0,0.8378378378378378,94.67567567567568
2025-09-10 06:06:10,20.0,2.0,1.0,106.0,15.631578947368421,2.0,0.8421052631578947,94.97368421052632
2025-09-10 06:06:20,19.0,2.0,1.0,106.0,15.717948717948717,2.0,0.8461538461538461,95.25641025641026
2025-09-10 06:06:30,19.0,2.0,1.0,106.0,15.8,2.0,0.85,95.525
2025-09-10 06:06:40,20.0,2.0,1.0,106.0,15.902439024390244,2.0,0.8536585365853658,95.78048780487805
2025-09-10 06:06:50,20.0,2.0,1.0,106.0,16.0,2.0,0.8571428571428571,96.02380952380952
2025-09-10 06:07:00,20.0,3.0,1.0,110.0,16.093023255813954,2.0232558139534884,0.8604651162790697,96.34883720930233
2025-09-10 06:07:10,20.0,3.0,1.0,110.0,16.181818181818183,2.0454545454545454,0.8636363636363636,96.6590909090909
2025-09-10 06:07:20,20.0,3.0,1.0,110.0,16.266666666666666,2.066666666666667,0.8666666666666667,96.95555555555555
2025-09-10 06:07:30,20.0,3.0,1.0,110.0,16.347826086956523,2.0869565217391304,0.8695652173913043,97.23913043478261
2025-09-10 06:07:40,20.0,3.0,1.0,110.0,16.425531914893618,2.106382978723404,0.8723404255319149,97.51063829787235
2025-09-10 06:07:50,20.0,3.0,1.0,111.0,16.5,2.125,0.875,97.79166666666667
2025-09-10 06:08:00,21.0,3.0,2.0,117.0,16.591836734693878,2.142857142857143,0.8979591836734694,98.18367346938776
2025-09-10 06:08:10,21.0,3.0,2.0,117.0,16.68,2.16,0.92,98.56
2025-09-10 06:08:20,22.0,3.0,2.0,117.0,16.784313725490197,2.176470588235294,0.9411764705882353,98.92156862745098
2025-09-10 06:08:30,22.0,3.0,2.0,117.0,16.884615384615383,2.1923076923076925,0.9615384615384616,99.26923076923077
2025-09-10 06:08:40,22.0,3.0,2.0,117.0,16.9811320754717,2.207547169811321,0.9811320754716981,99.60377358490567
2025-09-10 06:08:50,23.0,3.0,2.0,117.0,17.09259259259259,2.2222222222222223,1.0,99.92592592592592
2025-09-10 06:09:00,23.0,4.0,2.0,121.0,17.2,2.2545454545454544,1.018181818181818,100.30909090909091
2025-09-10 06:09:10,23.0,3.0,2.0,121.0,17.303571428571427,2.267857142857143,1.0357142857142858,100.67857142857143
2025-09-10 06:09:20,23.0,3.0,2.0,121.0,17.403508771929825,2.280701754385965,1.0526315789473684,101.03508771929825
2025-09-10 06:09:30,24.0,3.0,2.0,121.0,17.517241379310345,2.293103448275862,1.0689655172413792,101.37931034482759
2025-09-10 06:09:40,24.0,3.0,2.0,121.0,17.627118644067796,2.305084745762712,1.0847457627118644,101.71186440677967
2025-09-10 06:09:50,25.0,3.0,2.0,121.0,17.75,2.316666666666667,1.1,102.03333333333333
2025-09-10 06:10:00,25.0,3.0,2.0,128.0,17.966666666666665,2.3333333333333335,1.1333333333333333,102.76666666666667
2025-09-10 06:10:10,25.0,3.0,2.0,125.0,18.183333333333334,2.35,1.1666666666666667,103.45
2025-09-10 06:10:20,25.0,3.0,2.0,125.0,18.383333333333333,2.3666666666666667,1.2,104.13333333333334
2025-09-10 06:10:30,25.0,3.0,2.0,125.0,18.583333333333332,2.3833333333333333,1.2333333333333334,104.81666666666666
2025-09-10 06:10:40,25.0,3.0,2.0,125.0,18.783333333333335,2.4,1.2666666666666666,105.5
