shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
113,14,48.528679,-122.814400
113,15,48.531746,-122.823158
113,16,48.535099,-122.828651
113,17,48.538395,-122.832169
113,18,48.541691,-122.834145
113,19,48.546974,-122.835777
113,20,48.554760,-122.840584
113,21,48.564190,-122.848991
113,22,48.570663,-122.855942
113,23,48.574017,-122.863152
113,24,48.575096,-122.872421
113,25,48.573845,-122.878258
113,26,48.570710,-122.883440
115,0,48.506730,-122.678140
115,1,48.508408,-122.676826
115,2,48.510612,-122.677086
115,3,48.518589,-122.683296
115,4,48.522682,-122.707329
115,5,48.529049,-122.778053
115,6,48.527519,-122.807152
115,7,48.529282,-122.816849
115,8,48.534225,-122.827492
115,9,48.541328,-122.834190
115,10,48.555252,-122.840965
115,11,48.571323,-122.857018
115,12,48.588131,-122.909889
115,13,48.589027,-122.933151
115,14,48.597660,-122.943880
118,0,48.506730,-122.678140
118,1,48.508682,-122.676880
118,2,48.511299,-122.677437
118,3,48.515564,-122.680229
118,4,48.517811,-122.683487
118,5,48.520130,-122.688530
118,6,48.521324,-122.695053
118,7,48.523136,-122.719688
118,8,48.527687,-122.756081
118,9,48.529049,-122.781487
118,10,48.527405,-122.807152
118,11,48.534058,-122.827408
118,12,48.544113,-122.835220
118,13,48.555874,-122.841225
118,14,48.572231,-122.857018
118,15,48.583588,-122.891350
118,16,48.586849,-122.902809
118,17,48.589119,-122.915085
118,18,48.589413,-122.919456
118,19,48.588947,-122.923576
118,20,48.588020,-122.926414
118,21,48.586620,-122.928642
118,22,48.584317,-122.929690
119,0,48.506730,-122.678140
119,1,48.511906,-122.677505
119,2,48.516113,-122.680679
119,3,48.519012,-122.685654
119,4,48.520832,-122.694328
119,5,48.529049,-122.779427
119,6,48.527229,-122.807579
119,7,48.534054,-122.828178
119,8,48.573139,-122.854958
119,9,48.576763,-122.889549
119,10,48.574604,-122.895386
119,11,48.561314,-122.908089
119,12,48.543472,-122.941216
119,13,48.541088,-122.949631
119,14,48.541767,-122.961990
119,15,48.544613,-122.990997
119,16,48.560062,-123.003014
119,17,48.576534,-123.027390
119,18,48.623985,-123.087471
119,19,48.627277,-123.095886
119,20,48.628525,-123.106873
119,21,48.629318,-123.123009
119,22,48.627392,-123.133820
119,23,48.631134,-123.169868
119,24,48.631363,-123.179138
119,25,48.628979,-123.245575
119,26,48.654953,-123.329514
119,27,48.656769,-123.340157
119,28,48.656544,-123.347542
119,29,48.653820,-123.355606
119,30,48.642933,-123.384445
119,31,48.643089,-123.396635
119,32,48.643790,-123.397644
128,0,47.796054,-122.496287
128,1,47.793633,-122.493050
128,2,47.792595,-122.489532
128,3,47.792480,-122.483269
128,4,47.793056,-122.476746
128,5,47.794903,-122.468422
128,6,47.814503,-122.396835
128,7,47.815136,-122.392632
128,8,47.814789,-122.389626
128,9,47.812403,-122.382076
131,0,48.570710,-122.883440
131,1,48.573845,-122.878258
131,2,48.575096,-122.872421
131,3,48.574017,-122.863152
131,4,48.570663,-122.855942
131,5,48.564190,-122.848991
131,6,48.554760,-122.840584
131,7,48.546974,-122.835777
131,8,48.541691,-122.834145
131,9,48.538395,-122.832169
131,10,48.535099,-122.828651
131,11,48.531746,-122.823158
131,12,48.528679,-122.814400
131,13,48.527538,-122.806847
131,14,48.528450,-122.797409
131,15,48.529415,-122.784531
131,16,48.529301,-122.775177
131,17,48.528221,-122.764366
131,18,48.524925,-122.735527
131,19,48.521969,-122.707886
131,20,48.521572,-122.695610
131,21,48.520889,-122.690804
131,22,48.519184,-122.685913
131,23,48.516567,-122.681450
131,24,48.512077,-122.677757
131,25,48.509857,-122.676903
131,26,48.506730,-122.678140
1310,0,48.570710,-122.883440
1310,1,48.572971,-122.881668
1310,2,48.574059,-122.881569
1310,3,48.575401,-122.882233
1310,4,48.576569,-122.883728
1310,5,48.576931,-122.885323
1310,6,48.576950,-122.888321
